Phi[deg],Theta[deg],GainLHCP
152,8,0.314577
154,8,0.313295
156,8,0.312065
158,8,0.310894
160,8,0.309784
162,8,0.30874
164,8,0.307766
166,8,0.306867
168,8,0.306044
170,8,0.305304
172,8,0.304648
174,8,0.304081
176,8,0.303605
178,8,0.303224
180,8,0.30294
-180,10,0.301167
-178,10,0.300919
-176,10,0.300826
-174,10,0.30089
-172,10,0.301115
-170,10,0.301502
-168,10,0.302053
-166,10,0.302768
-164,10,0.303646
-162,10,0.304686
-160,10,0.305883
-158,10,0.307235
-156,10,0.308736
-154,10,0.31038
-152,10,0.312159
-150,10,0.314064
-148,10,0.316087
-146,10,0.318215
-144,10,0.320439
-142,10,0.322745
-140,10,0.32512
-138,10,0.327551
-136,10,0.330024
-134,10,0.332523
-132,10,0.335034
-130,10,0.337542
-128,10,0.340033
-126,10,0.342492
-124,10,0.344904
-122,10,0.347256
-120,10,0.349535
-118,10,0.351729
-116,10,0.353827
-114,10,0.355818
-112,10,0.357692
-110,10,0.359443
-108,10,0.361063
-106,10,0.362547
-104,10,0.36389
-102,10,0.36509
-100,10,0.366145
-98,10,0.367055
-96,10,0.367821
-94,10,0.368445
-92,10,0.36893
-90,10,0.369281
-88,10,0.369503
-86,10,0.369602
-84,10,0.369585
-82,10,0.369459
-80,10,0.369232
-78,10,0.368913
-76,10,0.368509
-74,10,0.368029
-72,10,0.367483
-70,10,0.366878
-68,10,0.366222
-66,10,0.365525
-64,10,0.364793
-62,10,0.364034
-60,10,0.363254
-58,10,0.362461
-56,10,0.36166
-54,10,0.360856
-52,10,0.360055
-50,10,0.35926
-48,10,0.358475
-46,10,0.357704
-44,10,0.35695
-42,10,0.356214
-40,10,0.3555
-38,10,0.35481
-36,10,0.354145
-34,10,0.353506
-32,10,0.352895
-30,10,0.352314
-28,10,0.351764
-26,10,0.351246
-24,10,0.350762
-22,10,0.350314
-20,10,0.349904
-18,10,0.349533
-16,10,0.349203
-14,10,0.348918
-12,10,0.34868
-10,10,0.34849
-8,10,0.348353
-6,10,0.348271
-4,10,0.348247
-2,10,0.348283
0,10,0.348384
2,10,0.348551
4,10,0.348787
6,10,0.349095
8,10,0.349476
10,10,0.349932
12,10,0.350464
14,10,0.351073
16,10,0.35176
18,10,0.352522
20,10,0.353359
22,10,0.35427
24,10,0.355251
26,10,0.356298
28,10,0.357408
30,10,0.358575
32,10,0.359793
34,10,0.361056
36,10,0.362357
38,10,0.363687
40,10,0.365038
42,10,0.366401
44,10,0.367765
46,10,0.369122
48,10,0.37046
50,10,0.37177
52,10,0.373041
54,10,0.374262
56,10,0.375423
58,10,0.376514
60,10,0.377525
62,10,0.378447
64,10,0.379271
66,10,0.379989
68,10,0.380593
70,10,0.381077
72,10,0.381434
74,10,0.381661
76,10,0.381753
78,10,0.381706
80,10,0.38152
82,10,0.381192
84,10,0.380723
86,10,0.380114
88,10,0.379367
90,10,0.378483
92,10,0.377468
94,10,0.376324
96,10,0.375057
98,10,0.373673
100,10,0.372177
102,10,0.370576
104,10,0.368878
106,10,0.367089
108,10,0.365218
110,10,0.363271
112,10,0.361257
114,10,0.359183
116,10,0.357058
118,10,0.354888
120,10,0.352682
122,10,0.350447
124,10,0.34819
126,10,0.345919
128,10,0.343639
130,10,0.341359
132,10,0.339083
134,10,0.336818
136,10,0.334571
138,10,0.332347
140,10,0.330152
142,10,0.327991
144,10,0.325871
146,10,0.323796
148,10,0.321772
150,10,0.319806
152,10,0.317902
154,10,0.316066
156,10,0.314305
158,10,0.312624
160,10,0.311029
162,10,0.309526
164,10,0.308121
166,10,0.306821
168,10,0.305633
170,10,0.304561
172,10,0.303612
174,10,0.302793
176,10,0.302109
178,10,0.301565
180,10,0.301167
-180,12,0.299936
-178,12,0.299601
-176,12,0.299485
-174,12,0.299597
-172,12,0.299943
-170,12,0.300527
-168,12,0.301354
-166,12,0.302424
-164,12,0.303739
-162,12,0.305298
-160,12,0.307096
-158,12,0.30913
-156,12,0.311392
-154,12,0.313872
-152,12,0.316561
-150,12,0.319444
-148,12,0.322507
-146,12,0.325732
-144,12,0.329102
-142,12,0.332596
-140,12,0.336192
-138,12,0.339869
-136,12,0.343602
-134,12,0.347367
-132,12,0.35114
-130,12,0.354895
-128,12,0.358608
-126,12,0.362254
-124,12,0.365811
-122,12,0.369254
-120,12,0.372563
-118,12,0.375717
-116,12,0.378698
-114,12,0.381489
-112,12,0.384075
-110,12,0.386445
-108,12,0.388588
-106,12,0.390497
-104,12,0.392165
-102,12,0.39359
-100,12,0.394771
-98,12,0.39571
-96,12,0.396412
-94,12,0.396881
-92,12,0.397126
-90,12,0.397157
-88,12,0.396985
-86,12,0.396622
-84,12,0.396083
-82,12,0.395382
-80,12,0.394534
-78,12,0.393556
-76,12,0.392462
-74,12,0.391269
-72,12,0.389993
-70,12,0.388649
-68,12,0.387251
-66,12,0.385814
-64,12,0.38435
-62,12,0.382871
-60,12,0.381388
-58,12,0.379911
-56,12,0.378449
-54,12,0.377008
-52,12,0.375597
-50,12,0.374218
-48,12,0.372878
-46,12,0.371579
-44,12,0.370324
-42,12,0.369114
-40,12,0.367951
-38,12,0.366835
-36,12,0.365766
-34,12,0.364746
-32,12,0.363772
-30,12,0.362847
-28,12,0.361969
-26,12,0.361139
-24,12,0.360358
-22,12,0.359627
-20,12,0.358948
-18,12,0.358322
-16,12,0.357753
-14,12,0.357244
-12,12,0.356798
-10,12,0.35642
-8,12,0.356114
-6,12,0.355886
-4,12,0.355742
-2,12,0.355686
0,12,0.355724
2,12,0.355864
4,12,0.356109
6,12,0.356465
8,12,0.356938
10,12,0.357532
12,12,0.35825
14,12,0.359095
16,12,0.360068
18,12,0.361172
20,12,0.362404
22,12,0.363764
24,12,0.365249
26,12,0.366853
28,12,0.368571
30,12,0.370395
32,12,0.372317
34,12,0.374327
36,12,0.376412
38,12,0.378561
40,12,0.380758
42,12,0.382989
44,12,0.385239
46,12,0.387489
48,12,0.389724
50,12,0.391924
52,12,0.394074
54,12,0.396153
56,12,0.398146
58,12,0.400034
60,12,0.401801
62,12,0.403431
64,12,0.404908
66,12,0.40622
68,12,0.407354
70,12,0.408298
72,12,0.409043
74,12,0.40958
76,12,0.409905
78,12,0.410011
80,12,0.409897
82,12,0.409562
84,12,0.409005
86,12,0.40823
88,12,0.40724
90,12,0.406041
92,12,0.404641
94,12,0.403046
96,12,0.401266
98,12,0.399313
100,12,0.397196
102,12,0.394928
104,12,0.392521
106,12,0.389987
108,12,0.38734
110,12,0.384593
112,12,0.381758
114,12,0.378848
116,12,0.375876
118,12,0.372853
120,12,0.36979
122,12,0.366699
124,12,0.36359
126,12,0.360473
128,12,0.357356
130,12,0.354249
132,12,0.351158
134,12,0.348093
136,12,0.345059
138,12,0.342064
140,12,0.339114
142,12,0.336214
144,12,0.333372
146,12,0.330592
148,12,0.327882
150,12,0.325246
152,12,0.322693
154,12,0.320228
156,12,0.317858
158,12,0.315591
160,12,0.313435
162,12,0.311398
164,12,0.309489
166,12,0.307716
168,12,0.30609
170,12,0.304618
172,12,0.303312
174,12,0.302182
176,12,0.301236
178,12,0.300484
180,12,0.299936
-180,14,0.299136
-178,14,0.298672
-176,14,0.298506
-174,14,0.298652
-172,14,0.299122
-170,14,0.299925
-168,14,0.301069
-166,14,0.302561
-164,14,0.304403
-162,14,0.306597
-160,14,0.309139
-158,14,0.312024
-156,14,0.315243
-154,14,0.318785
-152,14,0.322633
-150,14,0.326769
-148,14,0.331171
-146,14,0.335814
-144,14,0.340669
-142,14,0.345707
-140,14,0.350894
-138,14,0.356195
-136,14,0.361573
-134,14,0.366991
-132,14,0.372409
-130,14,0.377789
-128,14,0.383092
-126,14,0.388278
-124,14,0.393311
-122,14,0.398155
