Phi[deg],Theta[deg],RealizedGainPhi
-164,8,0.0300614
-162,8,0.0292728
-160,8,0.0285504
-158,8,0.0279066
-156,8,0.0273532
-154,8,0.0269012
-152,8,0.0265609
-150,8,0.026341
-148,8,0.0262492
-146,8,0.0262912
-144,8,0.0264713
-142,8,0.0267919
-140,8,0.0272538
-138,8,0.0278557
-136,8,0.0285946
-134,8,0.0294658
-132,8,0.0304629
-130,8,0.0315779
-128,8,0.0328017
-126,8,0.0341238
-124,8,0.0355325
-122,8,0.0370156
-120,8,0.0385601
-118,8,0.0401524
-116,8,0.041779
-114,8,0.043426
-112,8,0.0450797
-110,8,0.0467268
-108,8,0.0483541
-106,8,0.0499491
-104,8,0.0514998
-102,8,0.0529947
-100,8,0.054423
-98,8,0.0557747
-96,8,0.0570403
-94,8,0.058211
-92,8,0.0592786
-90,8,0.0602352
-88,8,0.0610738
-86,8,0.0617875
-84,8,0.0623698
-82,8,0.0628149
-80,8,0.0631168
-78,8,0.0632704
-76,8,0.0632706
-74,8,0.0631127
-72,8,0.0627928
-70,8,0.0623073
-68,8,0.0616533
-66,8,0.060829
-64,8,0.0598333
-62,8,0.0586663
-60,8,0.0573297
-58,8,0.0558262
-56,8,0.0541606
-54,8,0.0523392
-52,8,0.0503701
-50,8,0.0482637
-48,8,0.0460322
-46,8,0.0436898
-44,8,0.0412528
-42,8,0.0387394
-40,8,0.0361697
-38,8,0.0335653
-36,8,0.0309495
-34,8,0.0283466
-32,8,0.0257819
-30,8,0.0232815
-28,8,0.0208715
-26,8,0.0185782
-24,8,0.0164275
-22,8,0.0144443
-20,8,0.0126525
-18,8,0.0110745
-16,8,0.00973098
-14,8,0.00864017
-12,8,0.00781805
-10,8,0.00727786
-8,8,0.00702988
-6,8,0.00708133
-4,8,0.00743618
-2,8,0.00809509
0,8,0.00905539
2,8,0.0103111
4,8,0.0118529
6,8,0.0136686
8,8,0.0157427
10,8,0.0180573
12,8,0.0205917
14,8,0.0233233
16,8,0.0262274
18,8,0.029278
20,8,0.0324478
22,8,0.0357088
24,8,0.0390325
26,8,0.0423907
28,8,0.0457553
30,8,0.0490992
32,8,0.0523962
34,8,0.0556216
36,8,0.0587525
38,8,0.0617678
40,8,0.0646486
42,8,0.0673783
44,8,0.0699427
46,8,0.0723302
48,8,0.0745316
50,8,0.0765402
52,8,0.0783516
54,8,0.079964
56,8,0.0813774
58,8,0.0825941
60,8,0.083618
62,8,0.0844547
64,8,0.0851111
66,8,0.0855952
68,8,0.0859159
70,8,0.0860828
72,8,0.0861057
74,8,0.0859948
76,8,0.0857602
78,8,0.0854118
80,8,0.0849592
82,8,0.0844116
84,8,0.0837776
86,8,0.0830651
88,8,0.0822815
90,8,0.0814334
92,8,0.080527
94,8,0.0795676
96,8,0.0785603
98,8,0.0775093
100,8,0.076419
102,8,0.0752931
104,8,0.0741353
106,8,0.0729493
108,8,0.0717388
110,8,0.0705077
112,8,0.0692599
114,8,0.0679998
116,8,0.0667317
118,8,0.0654606
120,8,0.0641915
122,8,0.0629294
124,8,0.0616799
126,8,0.0604481
128,8,0.0592392
130,8,0.0580583
132,8,0.0569099
134,8,0.0557981
136,8,0.0547261
138,8,0.0536967
140,8,0.0527115
142,8,0.0517712
144,8,0.0508754
146,8,0.0500226
148,8,0.0492103
150,8,0.0484348
152,8,0.0476917
154,8,0.0469754
156,8,0.0462799
158,8,0.0455986
160,8,0.0449245
162,8,0.0442508
164,8,0.0435705
166,8,0.0428774
168,8,0.0421658
170,8,0.0414307
172,8,0.0406686
174,8,0.0398771
176,8,0.039055
178,8,0.0382032
180,8,0.0373236
-180,10,0.0419669
-178,10,0.040887
-176,10,0.0396473
-174,10,0.0382613
-172,10,0.0367456
-170,10,0.0351199
-168,10,0.0334065
-166,10,0.0316296
-164,10,0.029815
-162,10,0.0279895
-160,10,0.0261802
-158,10,0.0244141
-156,10,0.0227172
-154,10,0.0211144
-152,10,0.0196288
-150,10,0.0182809
-148,10,0.017089
-146,10,0.0160682
-144,10,0.0152303
-142,10,0.014584
-140,10,0.0141343
-138,10,0.0138828
-136,10,0.0138278
-134,10,0.0139643
-132,10,0.0142841
-130,10,0.0147763
-128,10,0.0154276
-126,10,0.0162225
-124,10,0.0171438
-122,10,0.018173
