Phi[deg],Theta[deg],RealizedGainPhi
178,12,1.89595
180,12,1.98856
-180,14,1.73885
-178,14,1.81663
-176,14,1.88987
-174,14,1.95814
-172,14,2.02109
-170,14,2.07839
-168,14,2.1298
-166,14,2.17511
-164,14,2.21417
-162,14,2.24687
-160,14,2.27315
-158,14,2.29298
-156,14,2.30636
-154,14,2.31334
-152,14,2.31398
-150,14,2.30839
-148,14,2.29668
-146,14,2.27901
-144,14,2.25556
-142,14,2.22651
-140,14,2.19211
-138,14,2.15259
-136,14,2.10824
-134,14,2.05936
-132,14,2.00627
-130,14,1.94932
-128,14,1.8889
-126,14,1.8254
-124,14,1.75922
-122,14,1.69081
-120,14,1.6206
-118,14,1.54904
-116,14,1.47658
-114,14,1.40367
-112,14,1.33073
-110,14,1.2582
-108,14,1.18647
-106,14,1.11593
-104,14,1.04694
-102,14,0.979808
-100,14,0.914833
-98,14,0.852268
-96,14,0.792335
-94,14,0.735221
-92,14,0.681079
-90,14,0.63003
-88,14,0.582169
-86,14,0.537564
-84,14,0.496259
-82,14,0.458283
-80,14,0.42365
-78,14,0.392364
-76,14,0.364422
-74,14,0.339821
-72,14,0.318555
-70,14,0.300623
-68,14,0.286029
-66,14,0.274783
-64,14,0.266902
-62,14,0.26241
-60,14,0.261338
-58,14,0.263722
-56,14,0.269598
-54,14,0.279005
-52,14,0.291976
-50,14,0.308541
-48,14,0.328715
-46,14,0.352501
-44,14,0.379883
-42,14,0.410825
-40,14,0.445266
-38,14,0.483116
-36,14,0.524261
-34,14,0.568556
-32,14,0.615827
-30,14,0.665875
-28,14,0.718475
-26,14,0.773381
-24,14,0.830332
-22,14,0.889052
-20,14,0.949261
-18,14,1.01067
-16,14,1.07302
-14,14,1.13601
-12,14,1.19942
-10,14,1.263
-8,14,1.32654
-6,14,1.38985
-4,14,1.45278
-2,14,1.5152
0,14,1.57699
2,14,1.63808
4,14,1.69839
6,14,1.7579
8,14,1.81655
10,14,1.87431
12,14,1.93116
14,14,1.98704
16,14,2.04192
18,14,2.09571
20,14,2.14831
22,14,2.19961
24,14,2.24945
26,14,2.29764
28,14,2.34396
30,14,2.38816
32,14,2.42996
34,14,2.46905
36,14,2.5051
38,14,2.53777
40,14,2.5667
42,14,2.59153
44,14,2.61192
46,14,2.62753
48,14,2.63804
50,14,2.64317
52,14,2.64267
54,14,2.63633
56,14,2.62399
58,14,2.60553
60,14,2.58091
62,14,2.55013
64,14,2.51324
66,14,2.47036
68,14,2.42165
70,14,2.36733
72,14,2.30768
74,14,2.24299
76,14,2.17362
78,14,2.09995
80,14,2.02239
82,14,1.94138
84,14,1.85736
86,14,1.77081
88,14,1.68221
90,14,1.59203
92,14,1.50078
94,14,1.40894
96,14,1.31701
98,14,1.22548
100,14,1.13485
102,14,1.04562
104,14,0.958272
106,14,0.873309
108,14,0.791224
110,14,0.712507
112,14,0.637651
114,14,0.567143
116,14,0.501464
118,14,0.441088
120,14,0.386472
122,14,0.338059
124,14,0.296265
126,14,0.26148
128,14,0.234054
130,14,0.214292
132,14,0.202451
134,14,0.198727
136,14,0.203252
138,14,0.216084
140,14,0.237206
142,14,0.266522
144,14,0.303851
146,14,0.348929
148,14,0.40141
150,14,0.460865
152,14,0.526792
154,14,0.598617
156,14,0.675706
158,14,0.75737
160,14,0.842875
162,14,0.931457
164,14,1.02233
166,14,1.11469
168,14,1.20775
170,14,1.30073
172,14,1.39285
174,14,1.48339
176,14,1.57166
178,14,1.65701
180,14,1.73885
-180,16,1.49073
-178,16,1.55682
-176,16,1.61831
-174,16,1.67486
-172,16,1.72621
-170,16,1.77213
-168,16,1.81247
-166,16,1.84712
-164,16,1.87601
-162,16,1.89911
-160,16,1.91644
-158,16,1.92802
-156,16,1.93391
